,PropertyName,Address,Price,No_Bedrooms,No_Bathrooms,Floorsize,Property_Type,Tenure,PSF,link,Latitude,Longitude,District,State
291,Kuala Lumpur Kuala Lumpur Kuala Lumpur,"KL City, Kuala Lumpur",300000,3,2,1000,Condominium,Freehold,300,https://www.propertyguru.com.my/propertylisting/kualalumpurkualalumpurkualalumpurforsalebykevinchai36124001,47.3776542,8.538495,KL City, Kuala Lumpur
292,Northpoint Residences,"1 Medan Syed Putra, Mid Valley City, Kuala Lumpur",1400000,3,2,1367,Condominium,Leasehold,1024.14,https://www.propertyguru.com.my/propertylisting/northpointresidencesforsalebydarrylling35409506,3.118506,101.6768457,Mid Valley City, Kuala Lumpur
293,Sentral Suites @ KL Sentral,"Jalan Tun Sambanthan, KL Sentral, Kuala Lumpur",973000,3,3,1025,New Project,Unknown,949.27,https://www.propertyguru.com.my/propertylisting/sentralsuitesklsentralforsalebyronyew35407413,3.13430685,101.6863691,KL Sentral, Kuala Lumpur
294,【RM2600 KLCC Infinity Pool 3mins walking to MRT】Airbnb Hotspot & Low Density,"Bukit Bintang, KL City, Kuala Lumpur",500000,2,2,650,Condominium,Freehold,769.23,https://www.propertyguru.com.my/propertylisting/rm2600klccinfinitypool3minswalkingtomrtairbnbhotspotlowdensityforsalebycassandrachung36602663,47.3776542,8.538495,KL City, Kuala Lumpur
295,Sri Penaga (Bangsar),"Jalan Medang Serai, Bukit Bandaraya, Bangsar, Kuala Lumpur",2250000,3,2,1948,Condominium,Freehold,1155.03,https://www.propertyguru.com.my/propertylisting/sripenagabangsarforsalebyshasha36435040,3.13083,101.66944,Bangsar, Kuala Lumpur
296,【First SemiD Concept Layout with Santorini Sky Pool】4R3B Only RM2300,"Old Klang Road (Jalan Klang Lama), Kuala Lumpur",570000,4,3,1300,Condominium,Freehold,438.46,https://www.propertyguru.com.my/propertylisting/firstsemidconceptlayoutwithsantoriniskypool4r3bonlyrm2300forsalebycassandrachung35895837,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
297,【RM500K Freehold walking 300m to KLCC】Free Furnished & Low Density,"Jalan Sultan Ismail, KL City, Kuala Lumpur",500000,2,2,680,Condominium,Freehold,735.29,https://www.propertyguru.com.my/propertylisting/rm500kfreeholdwalking300mtoklccfreefurnishedlowdensityforsalebycassandrachung36583687,47.3776542,8.538495,KL City, Kuala Lumpur
298,Jalan Ipoh Freehold Luxury Condo linked to [LRT/MRT/KTM],"Jalan Ipoh, KL City, Kuala Lumpur",300000,3,2,1000,Condominium,Freehold,300,https://www.propertyguru.com.my/propertylisting/jalanipohfreeholdluxurycondolinkedtolrtmrtktmforsalebycjtiew36514805,47.3776542,8.538495,KL City, Kuala Lumpur
299,Pavilion Damansara Heights,"Jalan Damanlela, Damansara Heights, Kuala Lumpur",1280610,2,1,808,New Project,Unknown,1584.91,https://www.propertyguru.com.my/propertylisting/paviliondamansaraheightsforsalebykit34154956,3.1523954,101.6584455,Damansara Heights, Kuala Lumpur
300,Dynasty Garden Condominium,"Jalan Kuchai Maju 9, Kuchai Entrepreneurs Park, Old Klang Road (Jalan Klang Lama), Kuala Lumpur",448000,3,2,1120,Condominium,Leasehold,400,https://www.propertyguru.com.my/propertylisting/dynastygardencondominiumforsalebydanielwu36666425,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
301,Gembira Residen (G Residence),"Jalan Senang Ria, Off Jalan Gembira, Happy Garden, Kuchai Lama, Kuala Lumpur",668000,3,2,1168,Condominium,Freehold,571.92,https://www.propertyguru.com.my/propertylisting/gembiraresidengresidenceforsalebydanielwu36666383,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
302,The Goodwood Residence,"Jalan Pantai Permai, Bangsar South, Kuala Lumpur",1506000,5,5,2002,New Project,Unknown,752.25,https://www.propertyguru.com.my/propertylisting/thegoodwoodresidenceforsalebyconnielu36266374,3.1129733,101.6667294,Bangsar South, Kuala Lumpur
303,The Legacy OUG,"Taman OUG, Kuchai Lama, Kuala Lumpur",710800,3,2,1050,New Project,Unknown,676.95,https://www.propertyguru.com.my/propertylisting/thelegacyougforsalebyrainlim36665761,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
304,Sentral Suites @ KL Sentral,"Jalan Tun Sambanthan, KL Sentral, Kuala Lumpur",828900,2,2,826,New Project,Unknown,1003.51,https://www.propertyguru.com.my/propertylisting/sentralsuitesklsentralforsalebyronyew35407369,3.13430685,101.6863691,KL Sentral, Kuala Lumpur
305,The Legacy OUG,"Taman OUG, Kuchai Lama, Kuala Lumpur",880800,4,4,1390,New Project,Unknown,633.67,https://www.propertyguru.com.my/propertylisting/thelegacyougforsalebyrainlim36649755,3.0894376,101.6846759,Kuchai Lama, Kuala Lumpur
306,Bandar Baru Sentul [ HOC Fully Furnished]  Township Direct Link LRT [Loan Subsidy],"Batu, Sentul, Kuala Lumpur",450000,3,2,1000,Condominium,Freehold,450,https://www.propertyguru.com.my/propertylisting/bandarbarusentulhocfullyfurnishedtownshipdirectlinklrtloansubsidyforsalebyvictorong33708325,3.1786181,101.6954775,Sentul, Kuala Lumpur
307,Sentul Point,"Sentul, Kuala Lumpur",320000,3,2,1051,Condominium,Freehold,304.47,https://www.propertyguru.com.my/propertylisting/sentulpointforsalebyvictorong34779262,3.1786181,101.6954775,Sentul, Kuala Lumpur
308,Kuala Lumpur Kuala Lumpur Kuala Lumpur Kuala Lumpur,"Bukit Bintang, KL City, Kuala Lumpur",385000,3,2,878,Condominium,Freehold,438.5,https://www.propertyguru.com.my/propertylisting/kualalumpurkualalumpurkualalumpurkualalumpurforsalebynatashatan36167031,47.3776542,8.538495,KL City, Kuala Lumpur
309,Setapak 3&4 Rooms Beside MRT,"Setapak Jaya, Setapak, Kuala Lumpur",388000,3,2,900,Condominium,Leasehold,431.11,https://www.propertyguru.com.my/propertylisting/setapak34roomsbesidemrtforsalebynatashatan36654870,3.1975774,101.7139655,Setapak, Kuala Lumpur
310,"210k Freehold Condo Baru【Gaji 2500 Blh Dpt 】2Bilik, 10k Cashback, Free 2 Years Maintenance","City Centre, KL City, Kuala Lumpur",210000,2,1,650,Condominium,Freehold,323.08,https://www.propertyguru.com.my/propertylisting/210kfreeholdcondobarugaji2500blhdpt2bilik10kcashbackfree2yearsmaintenanceforsalebyevelyn36366903,47.3776542,8.538495,KL City, Kuala Lumpur
311,Lakeville Residence,"Jalan Sibu Off Jalan Ipoh, Taman Wahyu, Jalan Ipoh, KL City, Kuala Lumpur",680000,3,2,978,Condominium,Leasehold,695.3,https://www.propertyguru.com.my/propertylisting/lakevilleresidenceforsalebyjaynegoh36664724,47.3776542,8.538495,KL City, Kuala Lumpur
312,Desa Pandan Apartment,"Jalan 2/76d, Kampung Pandan, Desa Pandan, Kuala Lumpur",355000,3,2,760,Apartment,Leasehold,467.11,https://www.propertyguru.com.my/propertylisting/desapandanapartmentforsalebyjadenyap34933884,3.1482687,101.7380746,Desa Pandan, Kuala Lumpur
313,Damansara Seresta,"Persiaran Meranti, Bandar Sri Menjalara, Bandar Menjalara, Kuala Lumpur",799999,3,2,1291,New Project,Unknown,619.67,https://www.propertyguru.com.my/propertylisting/damansaraserestaforsalebywiliamteng36265690,3.1941339,101.6272283,Bandar Menjalara, Kuala Lumpur
314,Pavilion Residences,"77 Jalan Raja Chulan Off Pavilion, Bukit Bintang, KL City, Kuala Lumpur",2640750,2,2,1508,Condominium,Leasehold,1751.16,https://www.propertyguru.com.my/propertylisting/pavilionresidencesforsalebysue32025819,47.3776542,8.538495,KL City, Kuala Lumpur
315,Casa Kiara 1," Jalan Kiara 3, Mont Kiara, Mont Kiara, Kuala Lumpur",690000,3,2,1236,Condominium,Freehold,558.25,https://www.propertyguru.com.my/propertylisting/casakiara1forsalebysue33631995,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
316,Riverville Residences,"Jalan Klang Lama Off Jalan Taman Sri Sentosa, Taman Sri Sentosa, Old Klang Road (Jalan Klang Lama), Kuala Lumpur",510300,4,3,1399,Condominium,Freehold,364.76,https://www.propertyguru.com.my/propertylisting/rivervilleresidencesforsalebyjoeylow36663974,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
317,Segambut [Freehold] [Residential Title] [0 DownPayment] [Dual Key],"Dutamas, Segambut, Kuala Lumpur",480000,4,3,1239,Condominium,Freehold,387.41,https://www.propertyguru.com.my/propertylisting/segambutfreeholdresidentialtitle0downpaymentdualkeyforsalebyjonathansing36663845,3.1864418,101.6641964,Segambut, Kuala Lumpur
318,PSV 1 Residences @ Platinum South Valley,"Bandar Tasik Selatan, Kuala Lumpur",470000,4,2,1093,New Project,Unknown,430.01,https://www.propertyguru.com.my/propertylisting/psv1residencesplatinumsouthvalleyforsalebykhchoo36663706,3.07609695,101.7114468,Bandar Tasik Selatan, Kuala Lumpur
319,[Super Rare Duplex Condo] [Fully Furnished] [Free MOT],"Taman Pertama, Cheras, Kuala Lumpur",450800,3,2,1021,Condominium,Unknown,441.53,https://www.propertyguru.com.my/propertylisting/superrareduplexcondofullyfurnishedfreemotforsalebyquinnlee36645631,3.0991919,101.7374229,Cheras, Kuala Lumpur
320,The Northshore Gardens,"3 Persiaran Residen 2, Desa Parkcity, Desa ParkCity, Kuala Lumpur",2480000,4,5,2454,Condominium,Freehold,1010.59,https://www.propertyguru.com.my/propertylisting/thenorthshoregardensforsalebyjessiekee36564739,3.1863832,101.6318156,Desa ParkCity, Kuala Lumpur
